,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
Tour_B_(TGBT_D5) V L1-L2 (V) [MAX] ,57403.0,392.53322720313156,2.8430723136018203,376.9,390.6,392.7,394.6,410.2,2789,4.633506113769272
Tour_B_(TGBT_D5) V L1-N (V) [MIN] ,57403.0,225.1246650962611,1.708774534118186,185.3,224.0,225.3,226.4,229.8,2789,4.633506113769272
Tour_B_(TGBT_D5) V L1-N (V) [AVG] ,57403.0,225.77036967609288,1.6513553050674399,217.08,224.66,225.88,226.99,230.17,2789,4.633506113769272
Tour_B_(TGBT_D5) V L1-N (V) [MAX] ,57403.0,226.34340259359556,1.6513878423952124,217.2,225.2,226.4,227.5,235.3,2789,4.633506113769272
Tour_B_(TGBT_D5) V L2-L3 (V) [MIN] ,57403.0,383.45254489014013,33.902394601744625,223.8,388.6,391.1,393.2,398.8,2789,4.633506113769272
Tour_B_(TGBT_D5) V L2-L3 (V) [AVG] ,57403.0,384.4529843646453,33.98516774332584,230.29,389.7,392.15,394.17,399.67,2789,4.633506113769272
Tour_B_(TGBT_D5) V L2-L3 (V) [MAX] ,57403.0,385.365731978016,34.06921989733027,230.6,390.7,393.0,395.1,410.6,2789,4.633506113769272
Tour_B_(TGBT_D5) V L2-N (V) [MIN] ,57403.0,225.81697723651817,1.7455723179885723,212.7,224.7,226.0,227.1,230.4,2789,4.633506113769272
Tour_B_(TGBT_D5) V L2-N (V) [AVG] ,57403.0,226.45751472696287,1.6984788586195556,217.36,225.34,226.62,227.72,230.76,2789,4.633506113769272
Tour_B_(TGBT_D5) V L2-N (V) [MAX] ,57403.0,227.05264342938347,1.7022689745186537,217.7,225.9,227.2,228.3,235.9,2789,4.633506113769272
Tour_B_(TGBT_D5) V L3-L1 (V) [MIN] ,57403.0,381.91448494872844,41.12917751490575,195.3,388.8,391.3,393.2,399.2,2789,4.633506113769272
Tour_B_(TGBT_D5) V L3-L1 (V) [AVG] ,57403.0,382.9084726609836,41.2220736419442,196.08,389.87,392.22,394.21,399.57,2789,4.633506113769272
