,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
TOUR_A_(TGBT_D14) PF L1  [AVG] ,54627.0,-0.6555992765571081,0.3044685761773314,-0.99,-0.89,-0.77,-0.44,1.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) PF L1  [MAX] ,54627.0,-0.4424502688627542,0.4992686411877924,-0.99,-0.83,-0.58,-0.15,1.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) PF L2  [MIN] ,54627.0,-0.9054700154295213,0.06749444244491758,-1.0,-0.95,-0.91,-0.87,0.99,5565,9.245414673046252
TOUR_A_(TGBT_D14) PF L2  [AVG] ,54627.0,-0.8700384461309392,0.11034054202146364,-0.99,-0.92,-0.87,-0.84,1.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) PF L2  [MAX] ,54627.0,-0.7214595244987172,0.4740818007419263,-0.98,-0.9,-0.84,-0.81,1.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) PF L3  [MIN] ,54627.0,-0.6248776791442368,0.17831759750438128,-0.99,-0.77,-0.59,-0.52,-0.13,5565,9.245414673046252
TOUR_A_(TGBT_D14) PF L3  [AVG] ,54627.0,-0.5663559607290277,0.1931642982761433,-0.98,-0.71,-0.53,-0.44,0.49,5565,9.245414673046252
TOUR_A_(TGBT_D14) PF L3  [MAX] ,54627.0,-0.510439421870598,0.2196458417211544,-0.98,-0.67,-0.48,-0.37,1.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) PF sys  [MIN] ,54627.0,-0.8338390230928562,0.09255133556767307,-1.0,-0.91,-0.84,-0.75,-0.44,5565,9.245414673046252
TOUR_A_(TGBT_D14) PF sys  [MAX] ,54627.0,-0.7150222033108492,0.2816752427872925,-1.0,-0.84,-0.75,-0.66,1.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) Phase sequence  [MIN] ,54627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) Phase sequence  [AVG] ,54627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) Phase sequence  [MAX] ,54627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA dmd (kVA) [MIN] ,54627.0,4.355162698535604,2.7697537173423843,0.0,2.83,3.25,4.5,20.62,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA dmd (kVA) [AVG] ,54627.0,4.355162698535604,2.7697537173423843,0.0,2.83,3.25,4.5,20.62,5565,9.245414673046252
TOUR_A_(TGBT_D14) kVA dmd (kVA) [MAX] ,54627.0,4.355162698535604,2.7697537173423843,0.0,2.83,3.25,4.5,20.62,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L1-L2 (V) [MIN] ,54627.0,390.68527804598784,2.9976640522577274,360.2,388.7,390.9,392.9,398.6,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L1-L2 (V) [AVG] ,54627.0,391.6734464262669,2.8891954825871946,376.49,389.75,391.9,393.8,399.15,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L1-L2 (V) [MAX] ,54627.0,392.5612551287963,2.871845531929757,376.9,390.6,392.8,394.7,406.5,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L1-N (V) [MIN] ,54627.0,225.08525772077806,1.714304671570468,208.0,224.0,225.2,226.3,229.7,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L1-N (V) [AVG] ,54627.0,225.73145641541737,1.6676165642890062,217.09,224.62,225.85,226.96,230.12,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L1-N (V) [MAX] ,54627.0,226.31487773478867,1.6650416671056518,217.3,225.2,226.4,227.5,233.5,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L2-L3 (V) [MIN] ,54627.0,390.9657695266242,3.0692309841708902,359.4,389.0,391.2,393.2,398.8,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L2-L3 (V) [AVG] ,54627.0,391.97264192676613,2.964043194647974,376.59,390.01,392.22,394.16,399.6,5565,9.245414673046252
TOUR_A_(TGBT_D14) V L2-L3 (V) [MAX] ,54627.0,392.88898096508785,2.9483569792504873,377.2,390.9,393.1,395.1,405.5,5565,9.245414673046252
